event_id,probability,outcome,baseline
e108,0.22819333311645196,1,0.5
e109,0.7975681546775157,1,0.5
e110,0.19818909478333585,0,0.5
e111,0.16108480295014785,0,0.5
e112,0.46047434702857637,1,0.5
e113,0.8818578525996421,1,0.5
e114,0.7018383046299941,0,0.5
e115,0.8967058918357442,0,0.5
e116,0.6065410769009758,1,0.5
e117,0.551319229146544,0,0.5
e118,0.4734539861847008,1,0.5
e119,0.30612872271660274,0,0.5
e120,0.6888673279749965,0,0.5
e121,0.19221878883539825,0,0.5
e122,0.5228825390879005,1,0.5
e123,0.49243102523205123,1,0.5
e124,0.4281072343797685,0,0.5
e125,0.37815437600669743,0,0.5
e126,0.6115350449423924,0,0.5
e127,0.7641402420597202,1,0.5
e128,0.49101328366551933,0,0.5
e129,0.4427882549976257,1,0.5
e130,0.7641366850325428,1,0.5
e131,0.5657456033606677,1,0.5
e132,0.16537263346458897,1,0.5
e133,0.5560426861753119,1,0.5
e134,0.8918440679628481,1,0.5
e135,0.4170217944089708,0,0.5
e136,0.3293239812257694,1,0.5
e137,0.387671166028857,0,0.5
e138,0.10611031868561654,0,0.5
e139,0.701594956062419,0,0.5
e140,0.6053527889301229,0,0.5
e141,0.4301801457393774,0,0.5
e142,0.394551465878045,1,0.5
e143,0.2859345030108429,0,0.5
e144,0.6513153965905497,0,0.5
e145,0.4711440229562742,0,0.5
e146,0.4576266394368098,0,0.5
e147,0.2553757670307615,1,0.5
e148,0.5982561806912802,0,0.5
e149,0.14195145623078975,0,0.5
e150,0.4147594540101438,0,0.5
e151,0.47757496536863714,1,0.5
e152,0.575512582085037,0,0.5
e153,0.5232989977027589,1,0.5
e154,0.6133414341274253,1,0.5
e155,0.8236895681099035,1,0.5
e156,0.6974070609226054,0,0.5
e157,0.3895344360139503,1,0.5
e158,0.3910132008017924,1,0.5
e159,0.5871933641828496,0,0.5
e160,0.8891126033396728,1,0.5
e161,0.4505881858238918,1,0.5
e162,0.5626891958152441,1,0.5
e163,0.7348510714183015,1,0.5
e164,0.3126912532745558,1,0.5
e165,0.45615695380395205,0,0.5
e166,0.7533361844373161,1,0.5
e167,0.6971057299991359,1,0.5
e168,0.6493453821600477,1,0.5
e169,0.5435229278853265,1,0.5
e170,0.43879994048502,0,0.5
e171,0.5740127358753252,1,0.5
e172,0.6478550344508175,1,0.5
e173,0.4495424825847756,0,0.5
e174,0.2806339188683105,0,0.5
e175,0.37949689623510247,0,0.5
e176,0.7983219721995567,1,0.5
e177,0.4741046488749272,1,0.5
e178,0.2712463219228886,0,0.5
e179,0.43062367238599697,1,0.5
e180,0.8573617089424561,1,0.5
e181,0.613236081713496,1,0.5
e182,0.8698861039127929,1,0.5
e183,0.6011694523463625,0,0.5
e184,0.19850460850674623,0,0.5
e185,0.5412246289142291,0,0.5
e186,0.25914116106095886,0,0.5
e187,0.31884152008553923,1,0.5
e188,0.6940040616447933,0,0.5
e189,0.5653578956704843,0,0.5
e190,0.14893769240615856,0,0.5
e191,0.37928850963012517,0,0.5
e192,0.6358941518399193,1,0.5
e193,0.11840460714426443,0,0.5
e194,0.7620666924881044,1,0.5
e195,0.7161710392059649,1,0.5
e196,0.6459953325507597,1,0.5
e197,0.7903335744301128,1,0.5
e198,0.4479584758121993,0,0.5
e199,0.5049582047086622,0,0.5
