event_date,report_date,count
2020-01-14,2020-01-18,6
2020-01-15,2020-01-15,22
2020-01-15,2020-01-16,32
2020-01-15,2020-01-17,24
2020-01-15,2020-01-18,13
2020-01-15,2020-01-19,8
2020-01-16,2020-01-16,19
2020-01-16,2020-01-17,33
2020-01-16,2020-01-18,31
2020-01-16,2020-01-19,15
2020-01-16,2020-01-20,10
2020-01-17,2020-01-17,16
2020-01-17,2020-01-18,28
2020-01-17,2020-01-19,20
2020-01-17,2020-01-20,10
2020-01-17,2020-01-21,10
2020-01-18,2020-01-18,20
2020-01-18,2020-01-19,33
2020-01-18,2020-01-20,18
2020-01-18,2020-01-21,16
2020-01-18,2020-01-22,7
2020-01-19,2020-01-19,19
2020-01-19,2020-01-20,37
2020-01-19,2020-01-21,36
2020-01-19,2020-01-22,13
2020-01-19,2020-01-23,6
2020-01-20,2020-01-20,20
2020-01-20,2020-01-21,31
2020-01-20,2020-01-22,25
2020-01-20,2020-01-23,13
2020-01-20,2020-01-24,14
2020-01-21,2020-01-21,21
2020-01-21,2020-01-22,24
2020-01-21,2020-01-23,29
2020-01-21,2020-01-24,10
2020-01-21,2020-01-25,14
2020-01-22,2020-01-22,32
2020-01-22,2020-01-23,30
2020-01-22,2020-01-24,29
2020-01-22,2020-01-25,22
2020-01-22,2020-01-26,19
2020-01-23,2020-01-23,21
2020-01-23,2020-01-24,22
2020-01-23,2020-01-25,23
2020-01-23,2020-01-26,9
2020-01-23,2020-01-27,14
2020-01-24,2020-01-24,22
2020-01-24,2020-01-25,24
2020-01-24,2020-01-26,31
2020-01-24,2020-01-27,15
2020-01-24,2020-01-28,16
2020-01-25,2020-01-25,13
2020-01-25,2020-01-26,28
2020-01-25,2020-01-27,30
2020-01-25,2020-01-28,8
2020-01-25,2020-01-29,13
2020-01-26,2020-01-26,21
2020-01-26,2020-01-27,28
2020-01-26,2020-01-28,27
2020-01-26,2020-01-29,16
2020-01-26,2020-01-30,7
2020-01-27,2020-01-27,18
2020-01-27,2020-01-28,32
2020-01-27,2020-01-29,25
2020-01-27,2020-01-30,15
2020-01-27,2020-01-31,7
2020-01-28,2020-01-28,21
2020-01-28,2020-01-29,37
2020-01-28,2020-01-30,20
2020-01-28,2020-01-31,13
2020-01-28,2020-02-01,10
2020-01-29,2020-01-29,14
2020-01-29,2020-01-30,25
2020-01-29,2020-01-31,24
2020-01-29,2020-02-01,17
2020-01-29,2020-02-02,4
2020-01-30,2020-01-30,16
2020-01-30,2020-01-31,28
2020-01-30,2020-02-01,19
2020-01-30,2020-02-02,14
2020-01-30,2020-02-03,10
2020-01-31,2020-01-31,21
2020-01-31,2020-02-01,33
2020-01-31,2020-02-02,18
2020-01-31,2020-02-03,16
2020-01-31,2020-02-04,10
2020-02-01,2020-02-01,21
2020-02-01,2020-02-02,28
2020-02-01,2020-02-03,32
2020-02-01,2020-02-04,13
2020-02-01,2020-02-05,12
2020-02-02,2020-02-02,23
2020-02-02,2020-02-03,38
2020-02-02,2020-02-04,23
2020-02-02,2020-02-05,14
2020-02-02,2020-02-06,10
2020-02-03,2020-02-03,23
2020-02-03,2020-02-04,30
2020-02-03,2020-02-05,21
2020-02-03,2020-02-06,15
2020-02-03,2020-02-07,12
2020-02-04,2020-02-04,26
2020-02-04,2020-02-05,42
2020-02-04,2020-02-06,15
2020-02-04,2020-02-07,20
2020-02-04,2020-02-08,10
2020-02-05,2020-02-05,15
2020-02-05,2020-02-06,33
2020-02-05,2020-02-07,29
2020-02-05,2020-02-08,15
2020-02-05,2020-02-09,9
2020-02-06,2020-02-06,10
2020-02-06,2020-02-07,33
2020-02-06,2020-02-08,22
2020-02-06,2020-02-09,15
2020-02-06,2020-02-10,15
2020-02-07,2020-02-07,19
2020-02-07,2020-02-08,29
2020-02-07,2020-02-09,23
2020-02-07,2020-02-10,15
2020-02-07,2020-02-11,7
2020-02-08,2020-02-08,19
2020-02-08,2020-02-09,32
2020-02-08,2020-02-10,23
2020-02-08,2020-02-11,22
2020-02-08,2020-02-12,6
2020-02-09,2020-02-09,25
2020-02-09,2020-02-10,24
2020-02-09,2020-02-11,29
2020-02-09,2020-02-12,10
2020-02-09,2020-02-13,12
2020-02-10,2020-02-10,17
2020-02-10,2020-02-11,33
2020-02-10,2020-02-12,29
2020-02-10,2020-02-13,13
2020-02-10,2020-02-14,10
2020-02-11,2020-02-11,23
2020-02-11,2020-02-12,15
2020-02-11,2020-02-13,26
2020-02-11,2020-02-14,17
2020-02-11,2020-02-15,10
2020-02-12,2020-02-12,15
2020-02-12,2020-02-13,35
2020-02-12,2020-02-14,20
2020-02-12,2020-02-15,20
2020-02-12,2020-02-16,13
2020-02-13,2020-02-13,21
2020-02-13,2020-02-14,27
2020-02-13,2020-02-15,27
2020-02-13,2020-02-16,12
2020-02-13,2020-02-17,14
2020-02-14,2020-02-14,19
2020-02-14,2020-02-15,25
2020-02-14,2020-02-16,28
2020-02-14,2020-02-17,12
2020-02-14,2020-02-18,8
2020-02-15,2020-02-15,16
2020-02-15,2020-02-16,36
2020-02-15,2020-02-17,36
2020-02-15,2020-02-18,12
2020-02-15,2020-02-19,10
2020-02-16,2020-02-16,18
2020-02-16,2020-02-17,27
2020-02-16,2020-02-18,22
2020-02-16,2020-02-19,9
2020-02-16,2020-02-20,11
2020-02-17,2020-02-17,22
2020-02-17,2020-02-18,36
2020-02-17,2020-02-19,27
2020-02-17,2020-02-20,17
2020-02-17,2020-02-21,13
2020-02-18,2020-02-18,24
2020-02-18,2020-02-19,42
2020-02-18,2020-02-20,22
2020-02-18,2020-02-21,17
2020-02-18,2020-02-22,15
2020-02-19,2020-02-19,23
2020-02-19,2020-02-20,29
2020-02-19,2020-02-21,25
2020-02-19,2020-02-22,9
2020-02-19,2020-02-23,6
