question,expert,round,estimate,actual
1,8,3,104.9745840289506,110
1,9,1,162.54742883135089,110
1,9,2,146.78320018194563,110
1,9,3,135.74824012736192,110
1,10,1,107.08571338465481,110
1,10,2,107.95999936925837,110
1,10,3,108.57199955848085,110
1,11,1,88.14446843703331,110
1,11,2,94.70112790592331,110
1,11,3,99.29078953414633,110
2,0,1,124.831728450431,120
2,0,2,123.3822099153017,120
2,0,3,122.3675469407112,120
2,1,1,136.44117706207052,120
2,1,2,131.50882394344936,120
2,1,3,128.05617676041456,120
2,2,1,109.44964025387569,120
2,2,2,112.61474817771298,120
2,2,3,114.83032372439908,120
2,3,1,120.66443145411972,120
2,3,2,120.46510201788381,120
2,3,3,120.32557141251867,120
2,4,1,132.35896632257817,120
2,4,2,128.65127642580472,120
2,4,3,126.0558934980633,120
2,5,1,107.06796217426546,120
2,5,2,110.94757352198582,120
2,5,3,113.66330146539008,120
2,6,1,126.12081179775443,120
2,6,2,124.2845682584281,120
2,6,3,122.99919778089966,120
2,7,1,135.8680972895214,120
2,7,2,131.10766810266497,120
2,7,3,127.77536767186548,120
2,8,1,119.67739998096299,120
2,8,2,119.7741799866741,120
2,8,3,119.84192599067187,120
2,9,1,168.67825633878502,120
2,9,2,154.07477943714952,120
2,9,3,143.85234560600466,120
2,10,1,106.98877684278878,120
2,10,2,110.89214378995214,120
2,10,3,113.6245006529665,120
2,11,1,162.84506801204708,120
2,11,2,149.99154760843294,120
2,11,3,140.99408332590306,120
3,0,1,181.58336611634516,130
3,0,2,166.10835628144162,130
3,0,3,155.27584939700913,130
3,1,1,130.45930187393134,130
3,1,2,130.32151131175195,130
3,1,3,130.22505791822636,130
3,2,1,122.66180755291694,130
3,2,2,124.86326528704186,130
3,2,3,126.40428570092931,130
3,3,1,120.75860415873785,130
3,3,2,123.5310229111165,130
3,3,3,125.47171603778155,130
3,4,1,112.69760457919844,130
3,4,2,117.88832320543891,130
3,4,3,121.52182624380724,130
3,5,1,162.58425204105944,130
3,5,2,152.8089764287416,130
3,5,3,145.96628350011912,130
3,6,1,121.30926361660377,130
3,6,2,123.91648453162264,130
3,6,3,125.74153917213584,130
3,7,1,158.3340255841918,130
3,7,2,149.83381790893426,130
3,7,3,143.88367253625398,130
3,8,1,152.07414557878116,130
3,8,2,145.4519019051468,130
3,8,3,140.81633133360276,130
3,9,1,137.37710137225517,130
3,9,2,135.1639709605786,130
3,9,3,133.61477967240504,130
3,10,1,153.67004123610297,130
3,10,2,146.5690288652721,130
3,10,3,141.59832020569047,130
3,11,1,124.68085806517237,130
3,11,2,126.27660064562066,130
3,11,3,127.39362045193447,130
4,0,1,121.66566300901846,140
4,0,2,127.16596410631293,140
4,0,3,131.01617487441905,140
4,1,1,169.4461425677102,140
4,1,2,160.61229979739716,140
4,1,3,154.428609858178,140
4,2,1,153.8679768664539,140
4,2,2,149.70758380651773,140
4,2,3,146.7953086645624,140
4,3,1,111.50201737638707,140
4,3,2,120.05141216347096,140
4,3,3,126.03598851442968,140
4,4,1,139.25832356105266,140
4,4,2,139.48082649273687,140
4,4,3,139.6365785449158,140
4,5,1,160.38803866743655,140
4,5,2,154.27162706720557,140
4,5,3,149.9901389470439,140
4,6,1,182.42754534662146,140
4,6,2,169.699281742635,140
4,6,3,160.78949721984452,140
4,7,1,116.71435453821658,140
4,7,2,123.70004817675161,140
4,7,3,128.59003372372612,140
4,8,1,154.23242313780446,140
4,8,2,149.96269619646313,140
4,8,3,146.9738873375242,140
4,9,1,106.71808093501005,140
4,9,2,116.70265665450704,140
4,9,3,123.69185965815493,140
4,10,1,161.0566680893129,140
4,10,2,154.73966766251903,140
4,10,3,150.31776736376332,140
4,11,1,161.22312490088254,140
4,11,2,154.85618743061778,140
4,11,3,150.39933120143243,140
5,0,1,152.79234450701844,150
5,0,2,151.9546411549129,150
5,0,3,151.36824880843903,150
5,1,1,137.75843178623467,150
5,1,2,141.43090225036426,150
5,1,3,144.00163157525498,150
5,2,1,150.42317812192658,150
5,2,2,150.29622468534862,150
5,2,3,150.20735727974403,150
5,3,1,202.4970608643398,150
5,3,2,186.74794260503785,150
5,3,3,175.7235598235265,150
5,4,1,180.8334084971529,150
5,4,2,171.58338594800702,150
5,4,3,165.10837016360492,150
5,5,1,175.58140283145528,150
5,5,2,167.9069819820187,150
5,5,3,162.53488738741308,150
5,6,1,132.3330573137177,150
5,6,2,137.6331401196024,150
5,6,3,141.34319808372166,150
5,7,1,150.303227964336,150
5,7,2,150.2122595750352,150
5,7,3,150.14858170252464,150
5,8,1,175.4064372659596,150
5,8,2,167.78450608617172,150
5,8,3,162.4491542603202,150
5,9,1,142.5464084007433,150
5,9,2,144.7824858805203,150
5,9,3,146.3477401163642,150
5,10,1,155.86371949990667,150
5,10,2,154.10460364993466,150
5,10,3,152.87322255495425,150
5,11,1,177.7924235931904,150
5,11,2,169.45469651523328,150
5,11,3,163.6182875606633,150
6,0,1,176.48709179724102,160
6,0,2,171.54096425806873,160
6,0,3,168.0786749806481,160
6,1,1,198.87006592102938,160
6,1,2,187.20904614472056,160
6,1,3,179.0463323013044,160
6,2,1,161.30836055147108,160
6,2,2,160.91585238602977,160
6,2,3,160.64109667022083,160
6,3,1,164.72486101171071,160
6,3,2,163.30740270819751,160
6,3,3,162.31518189573825,160
6,4,1,164.94583529999423,160
6,4,2,163.46208470999596,160
6,4,3,162.42345929699718,160
6,5,1,173.34988935633163,160
6,5,2,169.34492254943214,160
6,5,3,166.5414457846025,160
6,6,1,142.89984765884083,160
6,6,2,148.02989336118858,160
6,6,3,151.62092535283202,160
6,7,1,167.07493684130486,160
6,7,2,164.9524557889134,160
6,7,3,163.46671905223937,160
6,8,1,126.28292262588009,160
6,8,2,136.39804583811608,160
6,8,3,143.47863208668124,160
6,9,1,152.95920526677224,160
6,9,2,155.07144368674057,160
6,9,3,156.5500105807184,160
6,10,1,178.2581162563322,160
6,10,2,172.78068137943254,160
6,10,3,168.94647696560276,160
6,11,1,181.81818128982164,160
6,11,2,175.27272690287515,160
6,11,3,170.6909088320126,160
7,0,1,202.98970085053688,170
7,0,2,193.09279059537582,170
7,0,3,186.16495341676307,170
7,1,1,162.38558080695435,170
7,1,2,164.66990656486806,170
7,1,3,166.26893459540764,170
7,2,1,181.00563235550047,170
7,2,2,177.70394264885033,170
7,2,3,175.39275985419522,170
7,3,1,169.74599983256985,170
7,3,2,169.82219988279888,170
7,3,3,169.87553991795923,170
7,4,1,184.45098041314165,170
7,4,2,180.11568628919915,170
7,4,3,177.0809804024394,170
7,5,1,193.502247749875,170
7,5,2,186.4515734249125,170
7,5,3,181.51610139743875,170
7,6,1,216.38502473535226,170
7,6,2,202.46951731474658,170
7,6,3,192.7286621203226,170
7,7,1,173.29556899906748,170
7,7,2,172.30689829934724,170
7,7,3,171.61482880954307,170
7,8,1,188.61359033238222,170
7,8,2,183.02951323266754,170
7,8,3,179.1206592628673,170
7,9,1,171.90294815700187,170
7,9,2,171.33206370990132,170
7,9,3,170.9324445969309,170
7,10,1,199.35754157194125,170
7,10,2,190.55027910035886,170
7,10,3,184.3851953702512,170
7,11,1,148.1748821792733,170
7,11,2,154.72241752549132,170
7,11,3,159.30569226784394,170
