event_id,probability,outcome,action,loss,cumulative_loss
e103,0.183504130579345,0,False,0.0,84.0
e104,0.4466602504443622,0,True,2.0,86.0
e105,0.7124421568596517,1,True,0.0,86.0
e106,0.8916757580142969,1,True,0.0,86.0
e107,0.1138259879047429,0,False,0.0,86.0
e108,0.2281933331164519,1,True,0.0,86.0
e109,0.7975681546775157,1,True,0.0,86.0
e110,0.1981890947833358,0,False,0.0,86.0
e111,0.1610848029501478,0,False,0.0,86.0
e112,0.4604743470285763,1,True,0.0,86.0
e113,0.8818578525996421,1,True,0.0,86.0
e114,0.7018383046299941,0,True,2.0,88.0
e115,0.8967058918357442,0,True,2.0,90.0
e116,0.6065410769009758,1,True,0.0,90.0
e117,0.551319229146544,0,True,2.0,92.0
e118,0.4734539861847008,1,True,0.0,92.0
e119,0.3061287227166027,0,True,2.0,94.0
e120,0.6888673279749965,0,True,2.0,96.0
e121,0.1922187888353982,0,False,0.0,96.0
e122,0.5228825390879005,1,True,0.0,96.0
e123,0.4924310252320512,1,True,0.0,96.0
e124,0.4281072343797685,0,True,2.0,98.0
e125,0.3781543760066974,0,True,2.0,100.0
e126,0.6115350449423924,0,True,2.0,102.0
e127,0.7641402420597202,1,True,0.0,102.0
e128,0.4910132836655193,0,True,2.0,104.0
e129,0.4427882549976257,1,True,0.0,104.0
e130,0.7641366850325428,1,True,0.0,104.0
e131,0.5657456033606677,1,True,0.0,104.0
e132,0.1653726334645889,1,False,8.0,112.0
e133,0.5560426861753119,1,True,0.0,112.0
e134,0.8918440679628481,1,True,0.0,112.0
e135,0.4170217944089708,0,True,2.0,114.0
e136,0.3293239812257694,1,True,0.0,114.0
e137,0.387671166028857,0,True,2.0,116.0
e138,0.1061103186856165,0,False,0.0,116.0
e139,0.701594956062419,0,True,2.0,118.0
e140,0.6053527889301229,0,True,2.0,120.0
e141,0.4301801457393774,0,True,2.0,122.0
e142,0.394551465878045,1,True,0.0,122.0
e143,0.2859345030108429,0,True,2.0,124.0
e144,0.6513153965905497,0,True,2.0,126.0
e145,0.4711440229562742,0,True,2.0,128.0
e146,0.4576266394368098,0,True,2.0,130.0
e147,0.2553757670307615,1,True,0.0,130.0
e148,0.5982561806912802,0,True,2.0,132.0
e149,0.1419514562307897,0,False,0.0,132.0
e150,0.4147594540101438,0,True,2.0,134.0
e151,0.4775749653686371,1,True,0.0,134.0
e152,0.575512582085037,0,True,2.0,136.0
e153,0.5232989977027589,1,True,0.0,136.0
e154,0.6133414341274253,1,True,0.0,136.0
e155,0.8236895681099035,1,True,0.0,136.0
e156,0.6974070609226054,0,True,2.0,138.0
e157,0.3895344360139503,1,True,0.0,138.0
e158,0.3910132008017924,1,True,0.0,138.0
e159,0.5871933641828496,0,True,2.0,140.0
e160,0.8891126033396728,1,True,0.0,140.0
e161,0.4505881858238918,1,True,0.0,140.0
e162,0.5626891958152441,1,True,0.0,140.0
e163,0.7348510714183015,1,True,0.0,140.0
e164,0.3126912532745558,1,True,0.0,140.0
e165,0.456156953803952,0,True,2.0,142.0
e166,0.7533361844373161,1,True,0.0,142.0
e167,0.6971057299991359,1,True,0.0,142.0
e168,0.6493453821600477,1,True,0.0,142.0
e169,0.5435229278853265,1,True,0.0,142.0
e170,0.43879994048502,0,True,2.0,144.0
e171,0.5740127358753252,1,True,0.0,144.0
e172,0.6478550344508175,1,True,0.0,144.0
e173,0.4495424825847756,0,True,2.0,146.0
e174,0.2806339188683105,0,True,2.0,148.0
e175,0.3794968962351024,0,True,2.0,150.0
e176,0.7983219721995567,1,True,0.0,150.0
e177,0.4741046488749272,1,True,0.0,150.0
e178,0.2712463219228886,0,True,2.0,152.0
e179,0.4306236723859969,1,True,0.0,152.0
e180,0.8573617089424561,1,True,0.0,152.0
e181,0.613236081713496,1,True,0.0,152.0
e182,0.8698861039127929,1,True,0.0,152.0
e183,0.6011694523463625,0,True,2.0,154.0
e184,0.1985046085067462,0,False,0.0,154.0
e185,0.5412246289142291,0,True,2.0,156.0
e186,0.2591411610609588,0,True,2.0,158.0
e187,0.3188415200855392,1,True,0.0,158.0
e188,0.6940040616447933,0,True,2.0,160.0
e189,0.5653578956704843,0,True,2.0,162.0
e190,0.1489376924061585,0,False,0.0,162.0
e191,0.3792885096301251,0,True,2.0,164.0
e192,0.6358941518399193,1,True,0.0,164.0
e193,0.1184046071442644,0,False,0.0,164.0
e194,0.7620666924881044,1,True,0.0,164.0
e195,0.7161710392059649,1,True,0.0,164.0
e196,0.6459953325507597,1,True,0.0,164.0
e197,0.7903335744301128,1,True,0.0,164.0
e198,0.4479584758121993,0,True,2.0,166.0
e199,0.5049582047086622,0,True,2.0,168.0
